user_id;question;response
4;name;
4;name;
4;name;
4;name;
4;name;1111111111
4;name;
4;name;martha
4;name;M
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;Martha
4;name;Hugo
4;name;
4;name;Seth
4;name;Eminonu
4;name;xsdhhzf
4;name;
4;name;bibi
4;name;bib
4;name;bib
4;name;bib
4;name;mmmmm
4;name;dkdsjdskdjsdksdkzjdkzjdzkjdkzjdkzdjkzdjzdkzjdkzdjkzjdzjdkzdkzdjkzjdzkdjkzjdzkdkzjdkzdkzdkzjdzdkzd
4;name;mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
4;name;martha
4;name;
4;name;
4;name;
4;name;
4;name;1111
4;name;
4;name;
4;name;Martha
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;name;
4;language;PHP
4;language;PHP
4;language;JS
4;language;PYTHON
4;language;PHP
4;language;JS
4;language;PYTHON
4;language;PHP
4;language;JS
4;language;PYTHON
4;language;PYTHON
4;fave lang;PHP
4;fave lang;PHP
4;fave lang;PHP
4;fave lang;PHP
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;2
4;rating;10
4;rating;1
4;rating;6
4;rating;6
4;rating;10
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
4;rating;6
